timestamp,Position Value,datetime
1715007600000.0,0.0019322266,2024-05-06 15:00:00
1715007900000.0,0.0019360505,2024-05-06 15:05:00
1715008200000.0,0.0019427727,2024-05-06 15:10:00
1715008500000.0,0.0019489042,2024-05-06 15:15:00
1715008800000.0,0.001943676,2024-05-06 15:20:00
1715009100000.0,0.0019497675,2024-05-06 15:25:00
1715009400000.0,0.0019473652,2024-05-06 15:30:00
1715009700000.0,0.00195137,2024-05-06 15:35:00
1715010000000.0,0.0019565995,2024-05-06 15:40:00
1715010300000.0,0.0019532193,2024-05-06 15:45:00
1715010600000.0,0.0019619816,2024-05-06 15:50:00
1715010900000.0,0.001965556,2024-05-06 15:55:00
1715011200000.0,0.0019657055,2024-05-06 16:00:00
1715011500000.0,0.0019624056,2024-05-06 16:05:00
1715011800000.0,0.001962834,2024-05-06 16:10:00
1715012100000.0,0.0019602922,2024-05-06 16:15:00
1715012400000.0,0.0019619311,2024-05-06 16:20:00
1715012700000.0,0.0019631837,2024-05-06 16:25:00
1715013000000.0,0.0019572396,2024-05-06 16:30:00
1715013300000.0,0.0019606997,2024-05-06 16:35:00
1715013600000.0,0.0019562338,2024-05-06 16:40:00
1715013900000.0,0.001956286,2024-05-06 16:45:00
1715014200000.0,0.0019493566,2024-05-06 16:50:00
1715014500000.0,0.0019492211,2024-05-06 16:55:00
1715014800000.0,0.001953476,2024-05-06 17:00:00
1715015100000.0,0.0019565641,2024-05-06 17:05:00
1715015400000.0,0.0019600731,2024-05-06 17:10:00
1715015700000.0,0.0019565702,2024-05-06 17:15:00
1715016000000.0,0.0019549641,2024-05-06 17:20:00
1715016300000.0,0.0019551546,2024-05-06 17:25:00
1715016600000.0,0.0019404378,2024-05-06 17:30:00
1715016900000.0,0.0019416099,2024-05-06 17:35:00
1715017200000.0,0.0019389275,2024-05-06 17:40:00
1715017500000.0,0.0019429199,2024-05-06 17:45:00
1715017800000.0,0.0019457291,2024-05-06 17:50:00
1715018100000.0,0.0019470067,2024-05-06 17:55:00
1715018400000.0,0.0019507548,2024-05-06 18:00:00
1715018700000.0,0.0019462262,2024-05-06 18:05:00
1715019000000.0,0.0019476596,2024-05-06 18:10:00
1715019300000.0,0.0019454182,2024-05-06 18:15:00
1715019600000.0,0.001944321,2024-05-06 18:20:00
1715019900000.0,0.001945124,2024-05-06 18:25:00
1715020200000.0,0.0019405507,2024-05-06 18:30:00
1715020500000.0,0.0019507974,2024-05-06 18:35:00
1715020800000.0,0.0019481318,2024-05-06 18:40:00
1715021100000.0,0.0019527954,2024-05-06 18:45:00
1715021400000.0,0.0019533103,2024-05-06 18:50:00
1715021700000.0,0.0019520367,2024-05-06 18:55:00
1715022000000.0,0.0019488329,2024-05-06 19:00:00
1715022300000.0,0.0019498635,2024-05-06 19:05:00
1715022600000.0,0.0019398653,2024-05-06 19:10:00
1715022900000.0,0.0019375735,2024-05-06 19:15:00
1715023200000.0,0.0019400729,2024-05-06 19:20:00
1715023500000.0,0.0019400135,2024-05-06 19:25:00
1715023800000.0,0.0019391382,2024-05-06 19:30:00
1715024100000.0,0.0019396954,2024-05-06 19:35:00
1715024400000.0,0.0019418059,2024-05-06 19:40:00
1715024700000.0,0.0019431356,2024-05-06 19:45:00
1715025000000.0,0.0019463637,2024-05-06 19:50:00
1715025300000.0,0.0019481607,2024-05-06 19:55:00
1715025600000.0,0.0019463929,2024-05-06 20:00:00
1715025900000.0,0.0019478961,2024-05-06 20:05:00
1715026200000.0,0.0019476775,2024-05-06 20:10:00
1715026500000.0,0.0019523872,2024-05-06 20:15:00
1715026800000.0,0.0019531674,2024-05-06 20:20:00
1715027100000.0,0.0019533748,2024-05-06 20:25:00
1715027400000.0,0.001949704,2024-05-06 20:30:00
1715027700000.0,0.001951158,2024-05-06 20:35:00
1715028000000.0,0.0019503372,2024-05-06 20:40:00
1715028300000.0,0.0019489772,2024-05-06 20:45:00
1715028600000.0,0.0019498052,2024-05-06 20:50:00
1715028900000.0,0.0019478729,2024-05-06 20:55:00
1715029200000.0,0.001954957,2024-05-06 21:00:00
1715029500000.0,0.0019565942,2024-05-06 21:05:00
1715029800000.0,0.0019527385,2024-05-06 21:10:00
1715030100000.0,0.0019528855,2024-05-06 21:15:00
1715030400000.0,0.0019548628,2024-05-06 21:20:00
1715030700000.0,0.0019562938,2024-05-06 21:25:00
1715031000000.0,0.0019558605,2024-05-06 21:30:00
1715031300000.0,0.001955215,2024-05-06 21:35:00
1715031600000.0,0.0019537902,2024-05-06 21:40:00
1715031900000.0,0.001956337,2024-05-06 21:45:00
1715032200000.0,0.0019577323,2024-05-06 21:50:00
1715032500000.0,0.0019574068,2024-05-06 21:55:00
1715032800000.0,0.001956591,2024-05-06 22:00:00
1715033100000.0,0.0019576391,2024-05-06 22:05:00
1715033400000.0,0.0019551846,2024-05-06 22:10:00
1715033700000.0,0.0019549662,2024-05-06 22:15:00
1715034000000.0,0.0019582324,2024-05-06 22:20:00
1715034300000.0,0.0019586207,2024-05-06 22:25:00
1715034600000.0,0.0019568177,2024-05-06 22:30:00
1715034900000.0,0.0019554559,2024-05-06 22:35:00
1715035200000.0,0.0019557895,2024-05-06 22:40:00
1715035500000.0,0.0019573036,2024-05-06 22:45:00
1715035800000.0,0.0019578724,2024-05-06 22:50:00
1715036100000.0,0.0019578286,2024-05-06 22:55:00
1715036400000.0,0.0019567648,2024-05-06 23:00:00
1715036700000.0,0.001953443,2024-05-06 23:05:00
1715037000000.0,0.0019513164,2024-05-06 23:10:00
1715037300000.0,0.0019517865,2024-05-06 23:15:00
1715037600000.0,0.0019549078,2024-05-06 23:20:00
1715037900000.0,0.0019539688,2024-05-06 23:25:00
1715038200000.0,0.0019520466,2024-05-06 23:30:00
1715038500000.0,0.0019457651,2024-05-06 23:35:00
1715038800000.0,0.0019449769,2024-05-06 23:40:00
1715039100000.0,0.0019460168,2024-05-06 23:45:00
1715039400000.0,0.001946821,2024-05-06 23:50:00
1715039700000.0,0.0019466262,2024-05-06 23:55:00
1715040000000.0,0.0019499735,2024-05-07 00:00:00
1715040300000.0,0.0019511064,2024-05-07 00:05:00
1715040600000.0,0.0019451637,2024-05-07 00:10:00
1715040900000.0,0.0019406299,2024-05-07 00:15:00
1715041200000.0,0.0019461098,2024-05-07 00:20:00
1715041500000.0,0.0019535127,2024-05-07 00:25:00
1715041800000.0,0.0019599972,2024-05-07 00:30:00
1715042100000.0,0.0019644522,2024-05-07 00:35:00
1715042400000.0,0.001967426,2024-05-07 00:40:00
1715042700000.0,0.0019688278,2024-05-07 00:45:00
1715043000000.0,0.0019684911,2024-05-07 00:50:00
1715043300000.0,0.0019653055,2024-05-07 00:55:00
1715043600000.0,0.0019667742,2024-05-07 01:00:00
1715043900000.0,0.0019670709,2024-05-07 01:05:00
1715044200000.0,0.0019699265,2024-05-07 01:10:00
1715044500000.0,0.0019713722,2024-05-07 01:15:00
1715044800000.0,0.0019688802,2024-05-07 01:20:00
1715045100000.0,0.0019667733,2024-05-07 01:25:00
1715045400000.0,0.0019674478,2024-05-07 01:30:00
1715045700000.0,0.001972456,2024-05-07 01:35:00
1715046000000.0,0.0019730146,2024-05-07 01:40:00
1715046300000.0,0.001978136,2024-05-07 01:45:00
1715046600000.0,0.0019788414,2024-05-07 01:50:00
1715046900000.0,0.0019770672,2024-05-07 01:55:00
1715047200000.0,0.00197389,2024-05-07 02:00:00
1715047500000.0,0.0019682257,2024-05-07 02:05:00
1715047800000.0,0.0019712963,2024-05-07 02:10:00
1715048100000.0,0.0019664278,2024-05-07 02:15:00
1715048400000.0,0.001967458,2024-05-07 02:20:00
1715048700000.0,0.0019690841,2024-05-07 02:25:00
1715049000000.0,0.0019680276,2024-05-07 02:30:00
1715049300000.0,0.0019650625,2024-05-07 02:35:00
1715049600000.0,0.0019649547,2024-05-07 02:40:00
1715049900000.0,0.0019647472,2024-05-07 02:45:00
1715050200000.0,0.0019663125,2024-05-07 02:50:00
1715050500000.0,0.0019673514,2024-05-07 02:55:00
1715050800000.0,0.001967864,2024-05-07 03:00:00
1715051100000.0,0.001968552,2024-05-07 03:05:00
1715051400000.0,0.0019629153,2024-05-07 03:10:00
1715051700000.0,0.0019629188,2024-05-07 03:15:00
1715052000000.0,0.0019486786,2024-05-07 03:20:00
1715052300000.0,0.0019373219,2024-05-07 03:25:00
1715052600000.0,0.0019429625,2024-05-07 03:30:00
1715052900000.0,0.0019435767,2024-05-07 03:35:00
1715053200000.0,0.0019454926,2024-05-07 03:40:00
1715053500000.0,0.0019468351,2024-05-07 03:45:00
1715053800000.0,0.001945466,2024-05-07 03:50:00
1715054100000.0,0.0019460897,2024-05-07 03:55:00
1715054400000.0,0.0019463479,2024-05-07 04:00:00
1715054700000.0,0.0019471315,2024-05-07 04:05:00
1715055000000.0,0.0019462454,2024-05-07 04:10:00
1715055300000.0,0.0019492351,2024-05-07 04:15:00
1715055600000.0,0.0019534754,2024-05-07 04:20:00
1715055900000.0,0.0019539201,2024-05-07 04:25:00
1715056200000.0,0.0019536265,2024-05-07 04:30:00
1715056500000.0,0.0019499591,2024-05-07 04:35:00
1715056800000.0,0.0019536095,2024-05-07 04:40:00
1715057100000.0,0.0019517479,2024-05-07 04:45:00
1715057400000.0,0.0019530164,2024-05-07 04:50:00
1715057700000.0,0.0019548289,2024-05-07 04:55:00
1715058000000.0,0.0019488285,2024-05-07 05:00:00
1715058300000.0,0.0019531223,2024-05-07 05:05:00
1715058600000.0,0.0019498895,2024-05-07 05:10:00
1715058900000.0,0.0019510561,2024-05-07 05:15:00
1715059200000.0,0.0019513814,2024-05-07 05:20:00
1715059500000.0,0.0019478014,2024-05-07 05:25:00
1715059800000.0,0.0019451552,2024-05-07 05:30:00
1715060100000.0,0.0019456437,2024-05-07 05:35:00
1715060400000.0,0.0019577013,2024-05-07 05:40:00
1715060700000.0,0.0019540817,2024-05-07 05:45:00
1715061000000.0,0.0019550289,2024-05-07 05:50:00
1715061300000.0,0.0019557935,2024-05-07 05:55:00
1715061600000.0,0.0019557076,2024-05-07 06:00:00
1715061900000.0,0.0019536687,2024-05-07 06:05:00
1715062200000.0,0.0019557588,2024-05-07 06:10:00
1715062500000.0,0.0019570389,2024-05-07 06:15:00
1715062800000.0,0.0019570733,2024-05-07 06:20:00
1715063100000.0,0.0019552393,2024-05-07 06:25:00
1715063400000.0,0.0019539676,2024-05-07 06:30:00
1715063700000.0,0.0019592522,2024-05-07 06:35:00
1715064000000.0,0.001960205,2024-05-07 06:40:00
1715064300000.0,0.0019591022,2024-05-07 06:45:00
1715064600000.0,0.0019606235,2024-05-07 06:50:00
1715064900000.0,0.0019603255,2024-05-07 06:55:00
1715065200000.0,0.001958957,2024-05-07 07:00:00
1715065500000.0,0.0019568398,2024-05-07 07:05:00
1715065800000.0,0.001959653,2024-05-07 07:10:00
1715066100000.0,0.0019659172,2024-05-07 07:15:00
1715066400000.0,0.0019673575,2024-05-07 07:20:00
1715066700000.0,0.0019669274,2024-05-07 07:25:00
1715067000000.0,0.0019641956,2024-05-07 07:30:00
1715067300000.0,0.001962907,2024-05-07 07:35:00
1715067600000.0,0.0019637418,2024-05-07 07:40:00
1715067900000.0,0.0019617646,2024-05-07 07:45:00
1715068200000.0,0.001961026,2024-05-07 07:50:00
1715068500000.0,0.001960312,2024-05-07 07:55:00
1715068800000.0,0.0019617686,2024-05-07 08:00:00
1715069100000.0,0.0019624692,2024-05-07 08:05:00
1715069400000.0,0.0019690453,2024-05-07 08:10:00
1715069700000.0,0.0019737526,2024-05-07 08:15:00
1715070000000.0,0.0019830272,2024-05-07 08:20:00
1715070300000.0,0.0019792735,2024-05-07 08:25:00
1715070600000.0,0.0019755228,2024-05-07 08:30:00
1715070900000.0,0.00197641,2024-05-07 08:35:00
1715071200000.0,0.001972358,2024-05-07 08:40:00
