timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
28973538,0.9891801280097531,0.9900335263639135,0.9891496494971045,0.9892410850350504,221541.0,28973538,71913.32425,606,148739.0,48278.77578,0
28973539,0.9892106065224018,0.9901249619018592,0.9892106065224018,0.9898811338006706,83221.0,28973539,27020.61173,451,49715.0,16140.51634,0
28973540,0.9898811338006706,0.9903078329777506,0.9897287412374277,0.990277354465102,133174.0,28973540,43249.97297,548,108082.0,35099.67746,0
28973541,0.9903078329777506,0.9908869247180738,0.9902163974398049,0.9904602255409936,67952.0,28973541,22082.44956,515,40428.0,13137.11077,0
28973542,0.9904602255409936,0.9916488875342883,0.9904602255409936,0.9914964949710454,219874.0,28973542,71501.75996,671,164424.0,53470.97761,0
28973543,0.9914660164583967,0.9916488875342883,0.9908564462054251,0.9912831453825053,224245.0,28973543,72916.89286,502,187016.0,60808.68144,0
28973544,0.9912831453825053,0.9912831453825053,0.9904297470283451,0.9907650106674795,216740.0,28973544,70457.90819,435,25541.0,8301.7052,0
28973545,0.9907650106674795,0.9913136238951539,0.990643096616885,0.9908564462054251,179278.0,28973545,58284.92998,518,86252.0,28039.93684,0
28973546,0.9908869247180738,0.9911002743066138,0.9908259676927765,0.9909783602560195,110053.0,28973546,35783.95725,275,88447.0,28759.24816,0
28973547,0.9910088387686681,0.9913441024078025,0.9910088387686681,0.9911307528192623,195771.0,28973547,63662.15193,406,159711.0,51935.07539,0
28973548,0.9911307528192623,0.9911917098445596,0.9908259676927765,0.9908564462054251,105541.0,28973548,34314.61734,288,57602.0,18728.0339,0
28973549,0.9908564462054251,0.9912526668698568,0.9904907040536421,0.9908869247180738,288008.0,28973549,93617.16517,512,146307.0,47559.23218,0
28973550,0.9908869247180738,0.9916488875342883,0.9903992685156965,0.9916488875342883,564620.0,28973550,183625.96487,491,511113.0,166224.34198,0
28973551,0.9916184090216397,0.9928680280402317,0.9915574519963426,0.992624199939043,400960.0,28973551,130525.76259,600,286173.0,93165.07666,0
28973552,0.992624199939043,0.9927156354769887,0.9921060652240171,0.9921060652240171,79376.0,28973552,25844.70198,397,20732.0,6750.45494,0
28973553,0.9921365437366656,0.9926546784516915,0.9920451081987199,0.9922889362999087,83845.0,28973553,27297.84885,318,34769.0,11319.12224,0
28973554,0.9922889362999087,0.9925937214263945,0.9913136238951539,0.9921060652240171,2251200.0,28973554,732610.45461,696,114786.0,37362.23986,0
28973555,0.9921060652240171,0.9923498933252057,0.9918622371228284,0.9922584577872601,103020.0,28973555,33534.5072,326,61474.0,20010.71907,0
28973556,0.9922584577872601,0.9925022858884486,0.9919231941481256,0.9924413288631515,158671.0,28973556,51659.65811,317,102756.0,33455.85605,0
28973557,0.9924718073758,0.9928985065528803,0.9924413288631515,0.9928985065528803,198396.0,28973557,64612.68865,450,147340.0,47983.62126,0
28973558,0.9928680280402317,0.9930813776287717,0.9927461139896373,0.9927765925022859,244614.0,28973558,79691.28672,344,84621.0,27567.35455,0
28973559,0.9927765925022859,0.9927765925022859,0.9922279792746114,0.9922584577872601,181577.0,28973559,59120.02923,438,71424.0,23254.33825,0
28973560,0.9922889362999087,0.992624199939043,0.9922279792746114,0.9925327644010972,117450.0,28973560,38237.82842,353,31543.0,10269.88018,0
28973561,0.9925022858884486,0.9925937214263945,0.9921670222493142,0.9924718073758,171770.0,28973561,55925.76702,465,78129.0,25438.41021,0
28973562,0.9924718073758,0.9924718073758,0.9912526668698568,0.9919841511734226,889953.0,28973562,289600.50428,804,524069.0,170533.24082,0
28973563,0.9920146296860712,0.9920146296860712,0.9916793660469368,0.9917403230722341,61819.0,28973563,20117.36903,271,21662.0,7049.59321,0
28973564,0.9917403230722341,0.9917403230722341,0.9910088387686681,0.9912221883572082,105325.0,28973564,34257.54331,377,38904.0,12654.54621,0
28973565,0.9912221883572082,0.9917708015848827,0.9908869247180738,0.9915574519963426,98693.0,28973565,32100.62205,599,67897.0,22083.82104,0
28973566,0.9915574519963426,0.9928070710149344,0.9915574519963426,0.9927765925022859,249158.0,28973566,81129.64202,760,99462.0,32382.38656,0
28973567,0.9928070710149344,0.9928070710149344,0.9912221883572082,0.9922889362999087,1087506.0,28973567,353855.15627,769,53635.0,17456.42116,0
